species,iucn,FSp,FUn,FUSE_no,FUSE_median,FUSE_mean,FUSE_sd,FUSE_q025,FUSE_q975,rank,perc
Abeillia_abeillei,LC,0.8701110899025127,9.664072501548671e-14,0.8701110899026093,0.04302477237258498,0.04578448194485299,0.02300681791293291,0.008086844203420672,0.072983528876506,1,0.2032568643765601
Abroscopus_albogularis,LC,0.14277047522983743,1.098073279718048e-12,0.1427704752309355,0.006832152044213934,0.0069608603862575495,0.004575403788330869,7.46073029722764e-4,0.012698555283033219,2,0.7386188042315465
Abroscopus_schisticeps,LC,0.14277047523004088,1.2762814907740699e-12,0.14277047523131717,0.008624052701093121,0.0081881499406818,0.003328523613575479,0.0023910209216394295,0.012888304800497137,3,0.6322358255081422
Abroscopus_superciliaris,LC,0.14277047522956016,4.020055234663164e-13,0.14277047522996217,0.007776797913159171,0.007154023611938746,0.004344249657618879,9.059459960665693e-4,0.012606826933552301,4,0.6775228812552003
Aburria_aburri,LC,0.8005468502957725,2.072070354701079e-13,0.8005468502959797,0.023503659390076606,0.025444332881018748,0.01576280500445481,0.010420634504621116,0.05600355268436072,5,0.4068703197432545
Acanthagenys_rufogularis,LC,0.2593435291952923,0.4507907784534314,0.7101343076487237,0.026781104881374595,0.028177721420562248,0.01994655828036303,0.004179655447662732,0.05642985131383729,6,0.3756091762748128
Acanthisitta_chloris,LC,0.09232033701381563,2.2622025385544497e-14,0.09232033701383825,0.004799982328180676,0.004772298008695931,0.002244153150181664,0.0011685208405338644,0.0070106181187524885,7,0.8680613336503031
Acanthiza_apicalis,LC,0.032517242917165144,2.859565921942198e-14,0.03251724291719374,0.001300676876328733,0.0012912308787145252,7.831129836064046e-4,7.788470542046083e-5,0.002263516656054955,8,0.9877570426720551
Acanthiza_chrysorrhoa,LC,0.10515178042289028,1.118972524820192e-14,0.10515178042290146,0.005412863714968901,0.005487302889142015,0.003188627187754936,0.0011724698956413135,0.009445839068736911,9,0.8343040532509212
Acanthiza_ewingii,LC,0.10515178042289046,1.4215606109768475e-14,0.10515178042290467,0.0039800592852760105,0.004070734711898347,0.002337277316420979,0.0010037693499451747,0.007394224447066409,10,0.9034827053369785
Acanthiza_inornata,LC,0.14876354233308792,1.4145434650948036e-14,0.14876354233310207,0.007550793189695546,0.008079696933178752,0.0036952986291358177,0.002627238441168098,0.01307906814805877,11,0.6923808391774634
Acanthiza_iredalei,LC,0.10347527848815531,1.2007121424221453e-14,0.10347527848816732,0.005480662461442423,0.0054061641007450345,0.0031919267929382883,7.664654642279085e-4,0.009184519105160646,12,0.8303815523594437
Acanthiza_katherina,VU,0.1427704752295557,1.140709833345222e-15,0.14277047522955683,0.028258674375726222,0.030415771624443665,0.008006734216256578,0.022376373480673978,0.04488703071603421,13,0.3620587186497088
Acanthiza_lineata,LC,0.13986298890798446,0.2981894074676534,0.43805239637563786,0.02849826946568093,0.028792955782395293,0.006582480843103885,0.018598579551798645,0.03860288752495329,14,0.35884939973849994
Acanthiza_murina,LC,0.1427704752295557,1.1393774172428588e-15,0.14277047522955683,0.0032352673377306178,0.0043728952958689464,0.003553190052624303,3.402596190506162e-4,0.010869909684409602,15,0.9346249851420421
Acanthiza_nana,LC,0.10515178042289028,4.440202580297581e-15,0.10515178042289472,0.003821474658885429,0.0038611469752293757,0.002102933220919216,0.0013276534635559244,0.007700539352343556,16,0.9126352074170926
Acanthiza_pusilla,LC,0.03251724291716532,2.14862540363176e-14,0.0325172429171868,0.001197840002773658,0.0013413738762484367,5.011906675410948e-4,7.034844269273572e-4,0.0021891062833431663,17,0.9890645429692143
Acanthiza_reguloides,LC,0.10122135448932507,0.09045581032335868,0.19167716481268376,0.011133597641874549,0.010823618788141405,0.0037555374295772975,0.004050897075317421,0.015527171187554718,18,0.5644835373826221
Acanthiza_robustirostris,LC,0.14277047522955585,1.1665645415143366e-15,0.14277047522955702,0.007714346986991702,0.007777132813630504,0.003361529193333367,0.0035363507598834302,0.01209588000339691,19,0.6820397004635683
Acanthiza_uropygialis,LC,0.10347527848815531,1.2073184163076373e-14,0.10347527848816739,0.0050211798626960576,0.005210330076153558,0.0026273095104166594,0.0017402020611306645,0.009396621023669827,20,0.8559372399857363
Acanthorhynchus_superciliosus,LC,0.6752420942309275,5.446147292877786e-14,0.675242094230982,0.02394216761384016,0.028501452423476646,0.017142357907801057,0.010754500207432115,0.05794254981798859,21,0.4023535005348865
Acanthorhynchus_tenuirostris,LC,0.4174828797222732,5.506280387088697e-15,0.4174828797222787,0.017259775515395023,0.018818666720665917,0.01087442158378065,0.0033392826175434997,0.03444396018841384,22,0.4710566979674314
Acanthornis_magna,LC,0.1427704752295557,1.141045325619761e-15,0.14277047522955683,0.00829522954192056,0.007660119192985338,0.0037436669226679764,0.0013962571072805828,0.012626959095259922,23,0.6461428741233805
Accipiter_albogularis,LC,0.9628321685937007,3.271931318405598e-14,0.9628321685937334,0.036530065413411666,0.03770706098475121,0.02321998360290554,0.0071614050809193155,0.07175983378278523,24,0.2636396053726376
Accipiter_badius,LC,0.8677882401532602,0.2586852675471294,1.1264735077003896,0.06606258364187562,0.062160102987192004,0.025990037048351764,0.021193152358044177,0.09727263400922738,25,0.11363366218946867
Accipiter_bicolor,LC,0.9697122235383043,1.537450597360498e-15,0.9697122235383059,0.03898507549287343,0.04043506253706462,0.020821383590052187,0.016224849640456215,0.07427167163793766,26,0.2387970997266136
Accipiter_brachyurus,VU,0.9697122235383042,1.5069800361423687e-15,0.9697122235383058,0.2149441459914827,0.21814505179039856,0.046634598731047396,0.1408283505827174,0.27537858079565797,27,0.03209318911208844
Accipiter_brevipes,LC,0.478514765770206,0.16774051486971236,0.6462552806399184,0.033163781565838865,0.028298645447344655,0.021738984808338416,0.0012802150386433332,0.05582552981170172,28,0.30547961488173064
Accipiter_butleri,VU,0.9042901872989851,0.16617302358103406,1.0704632108800192,0.17897269112184788,0.19111539937259908,0.04411399302446285,0.1480578341119803,0.26685809313921127,29,0.04207773683584928
Accipiter_castanilius,LC,0.8897955826815528,2.5082516242298913e-15,0.8897955826815553,0.042713187794102526,0.03961894620967838,0.030787323555065648,0.0064837564088924115,0.07685568599477624,30,0.20634731962439082
Accipiter_cirrocephalus,LC,0.8897955826815528,2.4313025446755185e-15,0.8897955826815552,0.039731207340470864,0.03672082108499104,0.024187208983611857,7.155504185840047e-4,0.06320192466784104,31,0.2304766432901462
Accipiter_collaris,LC,0.9696983042840851,0.40522040152558275,1.374918705809668,0.05350735539507408,0.06263876251432787,0.03371328952863891,0.012289379689980916,0.1040562737325051,32,0.14275525971710448
Accipiter_cooperii,LC,0.9663216478985739,1.979026746097102e-14,0.9663216478985936,0.02828585073539054,0.038753612051400946,0.03337781440328823,0.003078532948374888,0.08495949431380487,33,0.36158326399619634
Accipiter_erythrauchen,LC,0.9697122235383043,1.2876905939816588e-15,0.9697122235383057,0.056699277978189966,0.05496559375600249,0.01849288899901002,0.02621588398499881,0.08232167853172104,34,0.13122548436942827
Accipiter_erythropus,LC,0.5859489976368218,0.33326217999718877,0.9192111776340106,0.03396804135605454,0.036698176890941965,0.020129736873415773,0.012244474114274552,0.07469734896677846,35,0.29430643052418876
Accipiter_fasciatus,LC,0.7155806388447328,0.40573422355119926,1.121314862395932,0.05794395983154481,0.057057601893011824,0.0305247219214016,0.014855156004937357,0.09807388683324572,36,0.1276595744680851
Accipiter_francesiae,LC,0.2343158644896648,1.8762489153465824e-14,0.23431586448968356,0.007337172842049558,0.008261957142124797,0.006069754910400984,0.0010127204199672074,0.01893011349363495,37,0.7061690241293237
Accipiter_gentilis,LC,0.9663216478985739,1.9614913333091292e-14,0.9663216478985935,0.043748404101638175,0.05127287900494643,0.024411551450446753,0.020710172215626196,0.08406844617138194,38,0.19767027219778913
Accipiter_griseiceps,LC,0.7389383689808826,0.07774477299949488,0.8166831419803775,0.03418973372911014,0.03519558215405805,0.020872504715744842,0.008777242154185544,0.06519548112317751,39,0.2906216569594675
Accipiter_gularis,LC,0.8897955826815529,2.466045336302184e-15,0.8897955826815553,0.02333628302842334,0.03730103422770518,0.029228050913589886,0.008470335459578886,0.0790792348525338,40,0.4086532746939261
Accipiter_gundlachi,EN,0.9697122235383042,1.3810796993618541e-15,0.9697122235383056,0.40860612205823493,0.4095045178315799,0.06921291969694383,0.3078227020249398,0.507933368248665,41,0.011886366337810532
Accipiter_haplochrous,NT,0.6304437920184893,0.40278517697599653,1.0332289689944858,0.1055844419368342,0.10929195569660405,0.011808057400423854,0.09502199385242419,0.13022898378138414,42,0.07012956139308213
Accipiter_henicogrammus,NT,0.6034693683459748,1.430885932496201e-14,0.6034693683459891,0.06934602172206175,0.0683865301205124,0.006010189646983134,0.059816742872932746,0.07713606750665887,43,0.10828479733745394
Accipiter_henstii,VU,0.9697122235383042,1.0620917186620017e-15,0.9697122235383053,0.19302153167286884,0.19927066132448829,0.051670852229108846,0.14279031377428958,0.2815657001425594,44,0.038630690597884224
