"species","in_M","in_L","in_D","in_C","n_spaces","category","excl_space"
"3031",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"1532",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"685",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"3034",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"712",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"7662",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"7314",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"5004",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"3358",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"7472",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"5778",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"7664",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"5777",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"4746",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"5537",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"693",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"3402",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"7656",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"5768",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"1441",TRUE,FALSE,TRUE,TRUE,3,"shared",NA
"4240",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"1069",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"687",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"6080",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"2111",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"4239",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"5766",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"629",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"1022",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"5536",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"607",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"2250",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"2114",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"1531",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"6960",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"5776",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"3406",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"4689",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"1693",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"4494",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"3713",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"4646",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"5552",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"1654",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"2108",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"4648",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"2051",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"2110",TRUE,FALSE,FALSE,TRUE,2,"shared",NA
"7659",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
"4688",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"1695",TRUE,TRUE,TRUE,TRUE,4,"shared",NA
"434",TRUE,TRUE,FALSE,TRUE,3,"shared",NA
